a,b,c
7,9,7
4,3,3
9,9,1
5,1,1
9,1,3
1,1,9
3,9,3
1,5,7
3,4,7
7,7,3
5,4,3
4,1,7
1,5,3
9,7,4
3,3,5
7,4,1
1,7,1
5,9,9
3,5,4
7,5,9
5,7,5
9,5,5
4,4,5
7,1,5
1,3,4
5,5,4
4,7,9
4,5,1
3,7,7
3,1,4
1,9,5
9,3,9
3,3,1
3,4,9
5,3,7
4,9,4
1,4,4
7,3,4
9,4,7
5,~0,7
5,5,~-5
4,9,~-5
1,~-5,1
~-1,9,9
~-1,5,4
~-5,3,4
5,3,~0
5,~-1,4
~0,3,3
~-5,4,1
9,~-1,1
9,1,~0
9,~-5,9
4,5,~-1
~-1,4,5
7,~-5,5
~-1,7,7
~0,1,9
4,~-5,4
3,9,~0
1,9,~-1
~-1,3,1
7,5,~0
~0,9,4
~0,5,7
4,1,~0
9,4,~0
4,~0,1
1,7,~0
3,3,~-1
3,~0,3
5,4,~-1
1,~-1,7
1,3,~-5
~0,7,5
7,1,~-1
~-5,7,3
9,7,~-1
~0,9,1
1,~0,9
3,7,~-5
3,~-1,9
~0,4,4
7,4,~-5
5,~-5,3
9,~0,5
7,~0,4
9,1,~-5
~-5,9,5
7,~-1,3
~-5,5,9
3,~-5,4
~-5,1,7
4,~-1,3
7,~-5,7
~-1,1,3
5,~-1,5
